,Benchmark,Hardware Vendor,System,avg. watts @ 100%,avg. watts @ active idle,Chips,# Cores Per Chip,# Threads Per Core,CPU Description,Processor MHz,Total Memory (GB),Total Threads
3,power_ssj2008,ASUSTeK Computer Inc.,RS500A-E10-PS4,214.0,51.4,1,64,2,AMD EPYC 7742,2250,128,128
4,power_ssj2008,ASUSTeK Computer Inc.,RS500A-E10-PS4,206.0,56.4,1,64,2,AMD EPYC 7742,2250,128,128
5,power_ssj2008,ASUSTeK Computer Inc.,RS620SA-E10-RS12,1140.0,228.0,6,64,2,AMD EPYC 7742,2250,768,768
6,power_ssj2008,ASUSTeK Computer Inc.,RS620SA-E10-RS12,1141.0,250.0,6,64,2,AMD EPYC 7742,2250,768,768
7,power_ssj2008,ASUSTeK Computer Inc.,RS700A-E11-RS4U,408.0,94.6,2,64,2,AMD EPYC 7763,2450,256,256
8,power_ssj2008,ASUSTeK Computer Inc.,RS700A-E11-RS4U,406.0,122.0,2,64,2,AMD EPYC 7763,2450,256,256
9,power_ssj2008,ASUSTeK Computer Inc.,RS700A-E9-RS4V2,430.0,106.0,2,64,2,AMD EPYC 7742,2250,256,256
10,power_ssj2008,ASUSTeK Computer Inc.,RS700A-E9-RS4V2,425.0,92.9,2,64,2,AMD EPYC 7742,2250,256,256
11,power_ssj2008,ASUSTeK Computer Inc.,RS720-E10-R12,623.0,110.0,2,40,2,Intel Xeon Platinum 8380,2300,256,160
12,power_ssj2008,ASUSTeK Computer Inc.,RS720-E9-RS8,405.0,47.4,2,28,2,Intel Xeon Platinum 8280L,2700,192,112
13,power_ssj2008,ASUSTeK Computer Inc.,RS720-E9-RS8,412.0,62.4,2,28,2,Intel Xeon Platinum 8280L,2700,192,112
14,power_ssj2008,ASUSTeK Computer Inc.,RS720-E9/RS8,385.0,48.2,2,28,2,Intel Xeon Platinum 8180,2500,192,112
15,power_ssj2008,ASUSTeK Computer Inc.,RS720A-E12-RS12,817.0,128.0,2,96,2,AMD EPYC 9654,2400,384,384
16,power_ssj2008,ASUSTeK Computer Inc.,RS720A-E12-RS12,827.0,126.0,2,96,2,AMD EPYC 9654,2400,384,384
17,power_ssj2008,ASUSTeK Computer Inc.,RS720Q-E9-RS8,1417.0,193.0,8,28,2,Intel Xeon Platinum 8176M,2100,768,448
18,power_ssj2008,Acer Incoporated,Acer AR360 F2,315.0,69.4,2,8,2,Intel Xeon E5-2660,2200,24,32
20,power_ssj2008,Acer Incorporated,Acer AC100,58.0,21.5,1,4,2,Intel Xeon E3-1260L,2400,8,8
21,power_ssj2008,Acer Incorporated,"Acer AR160 F1(Intel Xeon X5670, 2.93 GHz)",267.0,76.9,2,6,2,Intel Xeon X5670,2933,12,24
22,power_ssj2008,Acer Incorporated,"Acer AR180 F1(Intel Xeon X5670, 2.93 GHz)",265.0,76.4,2,6,2,Intel Xeon X5670,2933,12,24
23,power_ssj2008,Acer Incorporated,"Acer AR320 F1 (Intel Xeon X3470, 2.93 GHz)",124.0,39.6,1,4,2,Intel Xeon X3470,2933,8,8
24,power_ssj2008,Acer Incorporated,"Acer AR360 F1 (Intel Xeon X5670, 2.93 GHz)",272.0,73.6,2,6,2,Intel Xeon X5670,2933,12,24
25,power_ssj2008,Acer Incorporated,Acer AR380 F1,197.0,88.1,2,4,2,Intel Xeon L5530,2400,8,16
26,power_ssj2008,Acer Incorporated,"Acer AR380 F1 (Intel Xeon X5670, 2.93 GHz)",259.0,76.6,2,6,2,Intel Xeon X5670,2933,12,24
27,power_ssj2008,Acer Incorporated,Acer AR380 F2,325.0,99.6,2,6,2,Intel Xeon E5-2630,2300,128,24
28,power_ssj2008,Acer Incorporated,Acer AR380 F2,307.0,99.5,2,6,2,Intel Xeon E5-2640,2500,128,24
29,power_ssj2008,Acer Incorporated,Acer AR380 F2,409.0,103.0,2,8,2,Intel Xeon E5-2665,2400,128,32
30,power_ssj2008,Acer Incorporated,Acer AR380 F2,254.0,81.9,2,6,2,Intel Xeon E5-2640,2500,32,24
31,power_ssj2008,Acer Incorporated,Acer AR385 F1,307.0,94.9,2,16,1,AMD Opteron 6276,2300,32,32
32,power_ssj2008,Acer Incorporated,Acer AR385 F1,290.0,89.8,2,12,1,AMD Opteron 6238,2600,32,24
33,power_ssj2008,Acer Incorporated,"Acer AR385 F1 (AMD Opteron 6174, 2.20 GHz)",273.0,86.7,2,12,1,AMD Opteron 6174,2200,16,24
34,power_ssj2008,Acer Incorporated,Acer AR580 F2,368.0,109.0,4,6,2,Intel Xeon E5-4607,2200,64,48
35,power_ssj2008,Acer Incorporated,Acer AR580 F2,667.0,134.0,4,8,2,Intel Xeon E5-4650,2700,32,64
36,power_ssj2008,Acer Incorporated,Acer AR585 F1,511.0,145.0,4,12,1,AMD Opteron 6344,2600,64,48
37,power_ssj2008,Acer Incorporated,Acer AR585 F1,581.0,149.0,4,16,1,AMD Opteron 6380,2500,64,64
38,power_ssj2008,Acer Incorporated,Acer AR585 F1,584.0,127.0,4,16,1,AMD Opteron 6278,2400,64,64
39,power_ssj2008,Acer Incorporated,Acer AR585 F1,786.0,186.0,4,16,1,AMD Opteron 6278,2400,256,64
40,power_ssj2008,Acer Incorporated,Acer AR585 F1,713.0,176.0,4,16,1,AMD Opteron 6278,2400,256,64
41,power_ssj2008,Acer Incorporated,Acer AR585 F1,779.0,187.0,4,16,1,AMD Opteron 6276,2300,256,64
42,power_ssj2008,Acer Incorporated,Acer AR585 F1,713.0,177.0,4,16,1,AMD Opteron 6276,2300,256,64
43,power_ssj2008,Acer Incorporated,Acer AR585 F1,588.0,130.0,4,16,1,AMD Opteron 6276,2300,64,64
44,power_ssj2008,Acer Incorporated,Acer AR585 F1,559.0,127.0,4,12,1,AMD Opteron 6238,2600,64,48
45,power_ssj2008,Acer Incorporated,Acer AR585 F1,518.0,143.0,4,12,1,AMD Opteron 6174,2200,32,48
47,power_ssj2008,Acer Incorporated,Acer AT110 F2 (Intel Xeon E3-1270),102.0,21.3,1,4,2,Intel Xeon E3-1270,3400,8,8
48,power_ssj2008,Acer Incorporated,"Acer AT115 F1 (AMD Opteron 4164EE, 1.80 GHz)",70.2,31.9,1,6,1,AMD Opteron 4164EE,1800,8,6
49,power_ssj2008,Acer Incorporated,"Acer AT150 F1(Intel Xeon X5670, 2.93 GHz)",244.0,65.4,2,6,2,Intel Xeon X5670,2933,12,24
50,power_ssj2008,Acer Incorporated,Acer AT350 F1,193.0,88.5,2,4,2,Intel Xeon L5530,2400,8,16
51,power_ssj2008,Acer Incorporated,"Acer AT350 F1 (Intel Xeon X5670, 2.93 GHz)",259.0,78.8,2,6,2,Intel Xeon X5670,2933,12,24
52,power_ssj2008,Acer Incorporated,Acer AT350 F2,255.0,83.5,2,6,2,Intel Xeon E5-2640,2500,32,24
53,power_ssj2008,Acer Incorporated,Acer AT350 F2,414.0,96.6,2,8,2,Intel Xeon E5-2665,2400,128,32
54,power_ssj2008,Acer Incorporated,Acer AT350 F2,323.0,96.0,2,6,2,Intel Xeon E5-2630,2300,128,24
55,power_ssj2008,Acer Incorporated,Acer AT350 F2,327.0,98.2,2,6,2,Intel Xeon E5-2640,2500,128,24
56,power_ssj2008,Acer Incorporated,Acer AT350 F2,409.0,103.0,2,8,2,Intel Xeon E5-2665,2400,128,32
57,power_ssj2008,Acer Incorporated,Acer AW2000h-AW170h F1,1016.0,282.0,8,6,2,Intel Xeon X5675,3067,96,96
58,power_ssj2008,Acer Incorporated,Acer AW2000h-AW170h F2,1275.0,331.0,8,8,2,Intel Xeon E5-2660,2200,128,128
59,power_ssj2008,Acer Incorporated,Acer AW2000h-AW175h F1,1113.0,284.0,8,12,1,AMD Opteron 6174,2200,64,96
60,power_ssj2008,Acer Incorporated,Acer AW2000h-Aw170h F2,1700.0,364.0,8,8,2,Intel Xeon E5-2670,2600,512,128
61,power_ssj2008,Acer Incorporated,Acer AW2000ht-AW170ht F1,597.0,205.0,4,6,2,Intel Xeon X5670,2933,24,48
62,power_ssj2008,Acer Incorporated,Altos G540 M2,254.0,121.0,2,4,2,Intel Xeon X5570,2930,8,16
63,power_ssj2008,Acer Incorporated,Altos R360 F2,258.0,72.4,2,8,2,Intel Xeon E5-2660,2200,24,32
64,power_ssj2008,Acer Incorporated,Altos R360 F2,223.0,64.0,2,8,2,Intel Xeon E5-2650,2000,24,32
65,power_ssj2008,Acer Incorporated,Altos R360 F2,275.0,80.4,2,8,2,Intel Xeon E5-2660,2200,24,32
66,power_ssj2008,Acer Incorporated,Altos R380 F2,215.0,52.9,2,8,2,Intel Xeon E5-2650,2200,32,32
67,power_ssj2008,Acer Incorporated,Altos R380 F2,252.0,63.7,2,8,2,Intel Xeon E5-2660,2200,32,32
68,power_ssj2008,Acer Incorporated,Altos R380 F2,316.0,71.5,2,8,2,Intel Xeon E5-2660,2200,24,32
72,power_ssj2008,Acer Incorporated,Altos T350 F2,219.0,56.1,2,8,2,Intel Xeon E5-2650,2000,24,32
73,power_ssj2008,Acer Incorporated,Altos T350 F2,255.0,68.5,2,8,2,Intel Xeon E5-2660,2200,24,32
74,power_ssj2008,Acer Incorporated,Gateway GR160 F1,196.0,81.4,2,4,2,Intel Xeon L5520,2266,8,16
75,power_ssj2008,Acer Incorporated,"Gateway GR160 F1(Intel Xeon X5670, 2.93 GHz)",267.0,76.9,2,6,2,Intel Xeon X5670,2933,12,24
76,power_ssj2008,Acer Incorporated,"Gateway GR180 F1(Intel Xeon X5670, 2.93 GHz)",265.0,76.5,2,6,2,Intel Xeon X5670,2933,12,24
77,power_ssj2008,Acer Incorporated,"Gateway GR320 F1 (Intel Xeon X3470, 2.93 GHz)",125.0,39.6,1,4,2,Intel Xeon X3470,2933,8,8
78,power_ssj2008,Acer Incorporated,"Gateway GR360 F1 (Intel Xeon X5670, 2.93 GHz)",272.0,73.3,2,6,2,Intel Xeon X5670,2933,12,24
79,power_ssj2008,Acer Incorporated,Gateway GR380 F1,198.0,88.2,2,4,2,Intel Xeon L5530,2400,8,16
80,power_ssj2008,Acer Incorporated,"Gateway GR380 F1 (Intel Xeon X5670, 2.93 GHz)",260.0,76.6,2,6,2,Intel Xeon X5670,2933,12,24
81,power_ssj2008,Acer Incorporated,Gateway GR385 F1,295.0,97.3,2,12,1,AMD Opteron 6176,2300,16,24
82,power_ssj2008,Acer Incorporated,"Gateway GR385 F1 (AMD Opteron 6174, 2.20 GHz)",273.0,86.5,2,12,1,AMD Opteron 6174,2200,16,24
83,power_ssj2008,Acer Incorporated,Gateway GR585 F1,524.0,192.0,4,12,1,AMD Opteron 6168,1900,32,48
84,power_ssj2008,Acer Incorporated,Gateway GR585 F1,571.0,185.0,4,12,1,AMD Opteron 6176,2300,32,48
85,power_ssj2008,Acer Incorporated,Gateway GR585 F1,518.0,142.0,4,12,1,AMD Opteron 6174,2200,32,48
87,power_ssj2008,Acer Incorporated,Gateway GT110 F2 (Intel Xeon E3-1270),102.0,21.4,1,4,2,Intel Xeon E3-1270,3400,8,8
88,power_ssj2008,Acer Incorporated,"Gateway GT115 F1 (AMD Opteron 4164EE, 1.80 GHz)",70.3,32.0,1,6,1,AMD Opteron 4164EE,1800,8,6
89,power_ssj2008,Acer Incorporated,"Gateway GT150 F1(Intel Xeon X5670, 2.93 GHz)",245.0,65.5,2,6,2,Intel Xeon X5670,2933,12,24
90,power_ssj2008,Acer Incorporated,"Gateway GT310 F1 (Intel Xeon X3470, 2.93 GHz)",127.0,34.6,1,4,2,Intel Xeon X3470,2933,8,8
91,power_ssj2008,Acer Incorporated,Gateway GT350 F1,264.0,79.5,2,6,2,Intel Xeon X5675,3067,12,24
92,power_ssj2008,Acer Incorporated,Gateway GT350 F1,192.0,87.7,2,4,2,Intel Xeon L5530,2400,8,16
93,power_ssj2008,Acer Incorporated,"Gateway GT350 F1(Intel Xeon X5670, 2.93 GHz)",257.0,78.4,2,6,2,Intel Xeon X5670,2933,12,24
94,power_ssj2008,Acer Incorporated,Gateway GW1000-GW170 F1,386.0,145.0,4,4,2,Intel Xeon L5520,2266,16,32
95,power_ssj2008,Acer Incorporated,Gateway GW2000h-GW170h F1,1025.0,270.0,8,6,2,Intel Xeon X5675,3067,48,96
96,power_ssj2008,Acer Incorporated,Gateway GW2000h-GW170h F1,1014.0,269.0,8,6,2,Intel Xeon X5675,3067,96,96
97,power_ssj2008,Acer Incorporated,Gateway GW2000h-GW170h F1,748.0,260.0,8,4,2,Intel Xeon L5520,2266,32,64
98,power_ssj2008,Acer Incorporated,Gateway GW2000h-GW175h F1,1111.0,284.0,8,12,1,AMD Opteron 6174,2200,64,96
99,power_ssj2008,Acer Incorporated,Gateway GW2000ht-GW170ht F1,596.0,204.0,4,6,2,Intel Xeon X5670,2933,24,48
100,power_ssj2008,Apple Inc.,"Xserve2,1",353.0,213.0,2,4,4,Intel(R) Xeon(R) CPU E5472,3000,16,32
102,power_ssj2008,Bull SAS,"NovaScale R440 F2 (Intel Xeon X5670, 2.93 GHz)",247.0,60.4,2,6,2,Intel Xeon X5670,2933,12,24
103,power_ssj2008,"Cisco Systems, Inc.",UCS C220 M3,261.0,59.5,2,8,2,Intel Xeon E5-2660,2200,24,32
106,power_ssj2008,DEPO Computers,DEPO Storm 3350V2,232.0,97.1,2,10,2,Intel Xeon E5-2660 v2,2200,32,40
107,power_ssj2008,Dell Inc.,"Dell PowerEdge R710 (Intel Xeon X5675, 3.06 GHz)",227.0,62.2,2,6,2,Intel Xeon X5675,3066,24,24
113,power_ssj2008,Dell Inc.,PowerEdge C5220 (Intel Xeon E3-1265LV2),672.0,194.0,12,4,2,Intel Xeon E3-1265LV2,2500,96,96
114,power_ssj2008,Dell Inc.,"PowerEdge C6100 (Intel Xeon X5675, 3.06 GHz)",895.0,227.0,8,6,2,Intel Xeon 5675,3067,64,96
115,power_ssj2008,Dell Inc.,"PowerEdge C6105 (AMD Opteron 4376HE, 2.6 GHz)",573.0,106.0,8,8,1,AMD Opteron 4376HE,2600,64,64
116,power_ssj2008,Dell Inc.,"PowerEdge C6145 (AMD Opteron 6380, 2.50 GHz)",1105.0,196.0,8,16,1,AMD Opteron 6380,2500,128,128
117,power_ssj2008,Dell Inc.,PowerEdge C6320 (Intel Xeon E5-2699 v3 2.30 GHz),1229.0,210.0,8,18,2,Intel Xeon E5-2699 v3,2300,256,288
119,power_ssj2008,Dell Inc.,PowerEdge FC630 (Intel Xeon E5-2699 v3 2.30 GHz),1256.0,228.0,8,18,2,Intel Xeon E5-2699 v3,2300,256,288
120,power_ssj2008,Dell Inc.,PowerEdge M420,6854.0,1773.0,64,8,2,Intel Xeon E5-2470,2300,768,1024
121,power_ssj2008,Dell Inc.,PowerEdge M520,4026.0,713.0,32,8,2,Intel Xeon E5-2470,2300,384,512
122,power_ssj2008,Dell Inc.,PowerEdge M520 (Intel Xeon E5-2470 (2.30 GHz),4078.0,732.0,32,8,2,Intel Xeon E5-2470,2300,256,512
123,power_ssj2008,Dell Inc.,PowerEdge M520 (Intel Xeon E5-2470 v2 2.40 GHz),3429.0,595.0,32,10,2,Intel Xeon E5-2470 v2,2400,384,640
124,power_ssj2008,Dell Inc.,PowerEdge M610,3504.0,873.0,32,6,2,Intel Xeon X5675,3060,384,384
125,power_ssj2008,Dell Inc.,PowerEdge M610,3716.0,877.0,32,6,2,Intel Xeon X5670,2933,192,384
126,power_ssj2008,Dell Inc.,"PowerEdge M620 (Intel Xeon E5-2660 v2, 2.20 GHz)",3239.0,688.0,32,10,2,Intel Xeon E5-2660 v2,2200,384,640
127,power_ssj2008,Dell Inc.,"PowerEdge M620 (Intel Xeon E5-2670, 2.6 GHz)",3881.0,828.0,32,8,2,Intel Xeon E5-2670,2600,384,512
128,power_ssj2008,Dell Inc.,"PowerEdge M620 (Intel Xeon E5-2670, 2.60 GHz)",4057.0,833.0,32,8,2,Intel Xeon E5-2670,2600,384,512
129,power_ssj2008,Dell Inc.,"PowerEdge M630 (Intel Xeon E5-2699 v4, 2.20 GHz)",4918.0,878.0,32,22,2,Intel Xeon E5-2699 v4,2200,2048,1408
130,power_ssj2008,Dell Inc.,PowerEdge M710HD,3780.0,972.0,32,6,2,Intel Xeon X5675,3060,384,384
131,power_ssj2008,Dell Inc.,PowerEdge M820,3997.0,832.0,32,8,2,Intel Xeon E5-4650L,2600,384,512
132,power_ssj2008,Dell Inc.,"PowerEdge M820 (Intel Xeon E5-4650 v2, 2.40 GHz)",3448.0,734.0,32,10,2,Intel Xeon E5-4650 v2,2400,384,640
133,power_ssj2008,Dell Inc.,"PowerEdge M830 (Intel Xeon E5-4669 v3, 2.10 GHz)",5429.0,839.0,32,18,2,Intel Xeon E5-4669 v3,2100,1024,1152
134,power_ssj2008,Dell Inc.,PowerEdge M915,4847.0,1107.0,32,16,1,AMD Opteron 6276,2300,512,512
135,power_ssj2008,Dell Inc.,PowerEdge M915,4219.0,1068.0,32,12,1,AMD Opteron 6176,2300,256,384
136,power_ssj2008,Dell Inc.,"PowerEdge M915 (AMD Opteron 6380, 2.50 GHz)",4562.0,976.0,32,16,1,AMD Opteron 6380,2500,512,512
137,power_ssj2008,Dell Inc.,"PowerEdge R240 (Intel Xeon E-2176G, 3.70 GHz)",93.1,20.0,1,6,2,Intel Xeon E-2176G,3700,32,12
139,power_ssj2008,Dell Inc.,"PowerEdge R420 (Intel Xeon E5-2470, 2.30 GHz)",205.0,51.2,2,8,2,Intel Xeon E5-2470,2300,24,32
140,power_ssj2008,Dell Inc.,"PowerEdge R420 (Intel Xeon E5-2470, 2.30 GHz)",263.0,53.3,2,8,2,Intel Xeon E5-2470,2300,24,32
141,power_ssj2008,Dell Inc.,PowerEdge R510,266.0,56.9,2,6,2,Intel Xeon X5670,2933,12,24
142,power_ssj2008,Dell Inc.,"PowerEdge R520 (Intel Xeon E5-2470, 2.30 GHz)",264.0,47.9,2,8,2,Intel Xeon E5-2470,2300,24,32
143,power_ssj2008,Dell Inc.,"PowerEdge R610 (Intel Xeon L5530, 2.40 GHz)",172.0,60.0,2,4,2,Intel Xeon L5530,2400,8,16
144,power_ssj2008,Dell Inc.,"PowerEdge R610 (Intel Xeon X5570, 2.93 GHz)",236.0,63.2,2,4,2,Intel Xeon X5570,2933,12,16
145,power_ssj2008,Dell Inc.,"PowerEdge R610 (Intel Xeon X5670, 2.93 GHz)",242.0,61.9,2,6,2,Intel Xeon X5670,2933,12,24
146,power_ssj2008,Dell Inc.,"PowerEdge R610 (Intel Xeon X5670, 2.93 GHz)",244.0,62.3,2,6,2,Intel Xeon X5670,2933,12,24
147,power_ssj2008,Dell Inc.,PowerEdge R620 (Intel Xeon E5-2660 v2 2.20 GHz),184.0,45.2,2,10,2,Intel Xeon E5-2660 v2,2200,24,40
148,power_ssj2008,Dell Inc.,"PowerEdge R620 (Intel Xeon E5-2660, 2.2 GHz)",263.0,56.1,2,8,2,Intel Xeon E5-2660,2200,24,32
149,power_ssj2008,Dell Inc.,"PowerEdge R620 (Intel Xeon E5-2660, 2.2 GHz)",258.0,56.1,2,8,2,Intel Xeon E5-2660,2200,24,32
150,power_ssj2008,Dell Inc.,"PowerEdge R620 (Intel Xeon E5-2660, 2.20 GHz)",248.0,54.9,2,8,2,Intel Xeon E5-2660,2200,24,32
151,power_ssj2008,Dell Inc.,"PowerEdge R620 (Intel Xeon E5-2660, 2.20 GHz)",259.0,56.3,2,8,2,Intel Xeon E5-2660,2200,24,32
152,power_ssj2008,Dell Inc.,"PowerEdge R620 (Intel Xeon E5-2670, 2.6 GHz)",243.0,54.1,2,8,2,Intel Xeon E5-2670,2600,24,32
153,power_ssj2008,Dell Inc.,PowerEdge R630 (Intel Xeon E5-2699 v3 2.30 GHz),287.0,51.2,2,18,2,Intel Xeon E5-2699 v3,2300,64,72
154,power_ssj2008,Dell Inc.,PowerEdge R630 (Intel Xeon E5-2699 v4 2.20 GHz),279.0,46.7,2,22,2,Intel Xeon E5-2699 v4,2200,128,88
155,power_ssj2008,Dell Inc.,PowerEdge R640,469.0,55.0,2,28,2,Intel Xeon Platinum 8180,2500,192,112
156,power_ssj2008,Dell Inc.,"PowerEdge R6515 (AMD EPYC 7702P, 2.00 GHz)",231.0,54.5,1,64,2,AMD EPYC 7702P,2000,64,128
157,power_ssj2008,Dell Inc.,"PowerEdge R6525 (AMD EPYC 7702, 2.00 GHz)",404.0,81.6,2,64,2,AMD EPYC 7702,2000,128,256
158,power_ssj2008,Dell Inc.,"PowerEdge R710 (Intel Xeon L5530, 2.40 GHz)",172.0,62.8,2,4,2,Intel Xeon L5530,2400,8,16
159,power_ssj2008,Dell Inc.,"PowerEdge R710 (Intel Xeon X5570, 2.93 GHz)",220.0,65.0,2,4,2,Intel Xeon X5570,2933,8,16
160,power_ssj2008,Dell Inc.,"PowerEdge R710 (Intel Xeon X5570, 2.93 GHz)",237.0,75.6,2,4,2,Intel Xeon X5570,2933,12,16
161,power_ssj2008,Dell Inc.,"PowerEdge R710 (Intel Xeon X5670, 2.93 GHz)",232.0,64.0,2,6,2,Intel Xeon X5670,2933,12,24
162,power_ssj2008,Dell Inc.,"PowerEdge R710 (Intel Xeon X5670, 2.93 GHz)",236.0,64.6,2,6,2,Intel Xeon X5670,2933,12,24
163,power_ssj2008,Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2660 v2, 2.20 GHz)",173.0,43.9,2,10,2,"Intel Xeon E5-2660 v2,",2200,24,40
164,power_ssj2008,Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2660, 2.2 GHz)",250.0,52.7,2,8,2,Intel Xeon E5-2660,2200,24,32
165,power_ssj2008,Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2660, 2.20 GHz)",231.0,52.3,2,8,2,Intel Xeon E5-2660,2200,24,32
166,power_ssj2008,Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2660, 2.20 GHz)",230.0,53.8,2,8,2,Intel Xeon E5-2660,2200,24,32
167,power_ssj2008,Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2660, 2.20 GHz)",244.0,52.2,2,8,2,Intel Xeon E5-2660,2200,24,32
168,power_ssj2008,Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2670, 2.6 GHz)",231.0,51.0,2,8,2,Intel Xeon E5-2670,2600,24,32
169,power_ssj2008,Dell Inc.,PowerEdge R730 (Intel Xeon E5-2699 v3 2.30 GHz),272.0,46.9,2,18,2,Intel Xeon E5-2699 v3,2300,64,72
170,power_ssj2008,Dell Inc.,PowerEdge R730 (Intel Xeon E5-2699 v4 2.20 GHz),272.0,44.6,2,22,2,Intel Xeon E5-2699 v4,2200,128,88
171,power_ssj2008,Dell Inc.,PowerEdge R730 (Intel Xeon E5-2699 v4 2.20 GHz),269.0,44.9,2,22,2,Intel Xeon E5-2699 v4,2200,128,88
172,power_ssj2008,Dell Inc.,PowerEdge R740,457.0,52.3,2,28,2,Intel Xeon Platinum 8180,2500,192,112
173,power_ssj2008,Dell Inc.,"PowerEdge R740 (Intel Xeon Platinum 8280, 2.70 GHz)",432.0,49.8,2,28,2,"Intel Xeon Platinum 8280,",2700,192,112
174,power_ssj2008,Dell Inc.,PowerEdge R7425 (AMD EPYC 7601 2.20 GHz),268.0,77.5,2,32,2,AMD EPYC 7601 Dell SKU [338-BNCG],2200,128,128
