,Benchmark,Hardware Vendor,System,avg. watts @ 100%,avg. watts @ active idle,Chips,# Cores Per Chip,# Threads Per Core,CPU Description,Processor MHz,Total Memory (GB),Total Threads
175,power_ssj2008,Dell Inc.,PowerEdge R7425 (AMD EPYC 7601 2.20 GHz),287.0,84.9,2,32,2,AMD EPYC 7601,2200,128,128
176,power_ssj2008,Dell Inc.,"PowerEdge R7515 (AMD EPYC 7742, 2.25 GHz)",246.0,99.5,1,64,2,AMD EPYC 7742,2250,128,128
177,power_ssj2008,Dell Inc.,"PowerEdge R7525 (AMD EPYC 7702, 2.00 GHz)",393.0,72.3,2,64,2,AMD EPYC 7702,2000,128,256
178,power_ssj2008,Dell Inc.,"PowerEdge R815 (AMD Opteron 6174, 2.20 GHz)",279.0,100.0,2,12,1,AMD Opteron 6174,2200,16,24
179,power_ssj2008,Dell Inc.,"PowerEdge R815 (AMD Opteron 6174, 2.20 GHz)",509.0,142.0,4,12,1,AMD Opteron 6174,2200,32,48
180,power_ssj2008,Dell Inc.,"PowerEdge R815 (AMD Opteron 6278, 2.40 GHz)",593.0,118.0,4,16,1,AMD Opteron 6278,2400,64,64
181,power_ssj2008,Dell Inc.,PowerEdge R820 (Intel Xeon E5-4650 v2 2.40 GHz),374.0,71.8,4,10,2,Intel Xeon E5-4650 v2,2400,48,80
182,power_ssj2008,Dell Inc.,"PowerEdge R820 (Intel Xeon E5-4650L, 2.60 GHz)",457.0,108.0,4,8,2,Intel Xeon E5-4650L,2600,48,64
183,power_ssj2008,Dell Inc.,"PowerEdge R820 (Intel Xeon E5-4650L, 2.60 GHz)",458.0,106.0,4,8,2,Intel Xeon E5-4650L,2600,48,64
184,power_ssj2008,Dell Inc.,"PowerEdge R820 (Intel Xeon E5-4650L, 2.60 GHz)",446.0,110.0,4,8,2,Intel Xeon E5-4650L,2600,48,64
185,power_ssj2008,Dell Inc.,PowerEdge R830 (Intel Xeon E5-4669 v4 2.20 GHz),562.0,86.4,4,22,2,Intel Xeon E5-4669 v4,2200,256,176
186,power_ssj2008,Dell Inc.,PowerEdge R840 (Intel Xeon Platinum 8180 2.50 GHz),923.0,85.6,4,28,2,Intel Xeon Platinum 8180,2500,384,224
187,power_ssj2008,Dell Inc.,PowerEdge R840 (Intel Xeon Platinum 8180 2.50 GHz),939.0,89.8,4,28,2,Intel Xeon Platinum 8180,2500,384,224
188,power_ssj2008,Dell Inc.,PowerEdge R940,915.0,106.0,4,28,2,Intel Xeon Platinum 8180,2500,384,224
189,power_ssj2008,Dell Inc.,PowerEdge T620 (Intel Xeon E5-2660 v2 2.20 GHz),172.0,40.3,2,10,2,Intel Xeon E5-2660 v2,2200,24,40
190,power_ssj2008,Dell Inc.,"PowerEdge T620 (Intel Xeon E5-2660, 2.2 GHz)",246.0,51.3,2,8,2,Intel Xeon E5-2660,2200,24,32
191,power_ssj2008,Dell Inc.,"PowerEdge T620 (Intel Xeon E5-2660, 2.2 GHz)",240.0,50.3,2,8,2,Intel Xeon E5-2660,2200,24,32
192,power_ssj2008,Dell Inc.,"PowerEdge T620 (Intel Xeon E5-2660, 2.20 GHz)",242.0,51.0,2,8,2,Intel Xeon E5-2660,2200,24,32
193,power_ssj2008,Dell Inc.,"PowerEdge T620 (Intel Xeon E5-2660, 2.20 GHz)",246.0,51.9,2,8,2,Intel Xeon E5-2660,2200,24,32
194,power_ssj2008,Dell Inc.,"PowerEdge T620 (Intel Xeon E5-2670, 2.6 GHz)",227.0,50.2,2,8,2,Intel Xeon E5-2670,2600,24,32
195,power_ssj2008,Dell Inc.,PowerEdge T630 (Intel Xeon E5-2699 v3 2.30 GHz),273.0,48.1,2,18,2,Intel Xeon E5-2699 v3,2300,64,72
196,power_ssj2008,Dell Inc.,PowerEdge T640,469.0,56.0,2,28,2,Intel Xeon Platinum 8180,2500,192,112
197,power_ssj2008,Dell Inc.,"PowerEdge XR4510c (Intel Xeon D-2776NT, 2.10 GHz)",561.0,200.0,4,16,2,Intel Xeon-D 2776NT,2100,128,128
198,power_ssj2008,Dell Inc.,"PowerEdge XR8620T (Intel Xeon Gold 6421N, 1.80 GHz)",487.0,170.0,2,32,2,Intel Xeon Gold 6421N,1800,256,128
199,power_ssj2008,"FALINUX, Inc.",AnyStor-700EC,250.0,125.0,2,64,1,Ampere速 Altra速 64-Bit Multi-Core Processor Q64-30,3000,64,128
200,power_ssj2008,"FALINUX, Inc.",AnyStor-700EC,123.0,73.1,1,64,1,Ampere速 Altra速 64-Bit Multi-Core Processor Q64-30,3000,32,64
201,power_ssj2008,Five9 Network Systems,Five9 N1200 Carrier Grade Server,190.0,76.5,2,6,2,Intel Xeon X5670,2930,12,24
202,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY CX2550 M1,1152.0,171.0,8,18,2,Intel Xeon E5-2699 v3,2300,256,288
203,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY CX2560 M5,1412.0,329.0,8,24,2,Intel Xeon Platinum 6252,2100,768,384
204,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY CX2560 M6,1906.0,472.0,8,24,2,Intel Xeon Gold 5318Y,2100,1,384
205,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY CX2560 M6,1600.0,482.0,8,24,2,Intel Xeon Gold 5318Y,2100,1,384
206,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY CX2560 M7,2336.0,541.0,8,32,2,Intel Xeon Gold 6428N,1800,1,512
207,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY LX1430 M1,250.0,60.8,1,64,2,AMD EPYC 7742,2250,256,128
208,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY RX1330 M1,63.9,16.0,1,4,2,Intel Xeon E3-1275Lv3,2700,16,8
209,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY RX1330 M1,63.7,13.8,1,4,2,Intel Xeon E3-1275Lv3,2500,16,8
210,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY RX1330 M2,47.7,16.0,1,4,2,Intel Xeon E3-1260L v5,2900,16,8
211,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY RX1330 M3,56.1,13.1,1,4,2,Intel Xeon E3-1230 v6,3500,16,8
212,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY RX1330 M4,73.9,12.8,1,6,2,Intel Xeon E-2176G,3700,16,12
213,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY RX1330 M4,57.4,16.8,1,8,2,Intel Xeon E-2288G,3700,16,16
214,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY RX1330 M5,70.5,17.9,1,8,2,Intel Xeon E-2388G,3200,16,16
215,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY RX1330 M5,72.7,20.5,1,8,2,Intel Xeon E-2388G,3200,16,16
216,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY RX2520 M5,318.0,61.5,2,18,2,Intel Xeon Gold 5220,2200,192,72
217,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY RX2530 M1,289.0,47.3,2,18,2,Intel Xeon E5-2699 v3,2300,64,72
218,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY RX2530 M2,266.0,49.6,2,22,2,Intel Xeon E5-2699 v4,2200,64,88
219,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY RX2530 M5,367.0,53.6,2,28,2,Intel Xeon Platinum 8276L,2200,192,112
220,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY RX2530 M7,1036.0,186.0,2,60,2,Intel Xeon Platinum 8490H,1900,512,240
221,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY RX2540 M1,271.0,39.0,2,18,2,Intel Xeon E5-2699 v3,2300,64,72
222,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY RX2540 M2,255.0,43.6,2,22,2,Intel Xeon E5-2699 v4,2200,64,88
223,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY RX2540 M4,355.0,57.3,2,28,2,Intel Xeon Platinum 8176M,2100,192,112
224,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY RX2540 M5,388.0,58.3,2,28,2,Intel Xeon Platinum 8280L,2700,192,112
225,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY RX2540 M5,332.0,58.2,2,28,2,Intel Xeon Platinum 8276L,2300,192,112
226,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY RX2540 M7,1043.0,184.0,2,60,2,Intel Xeon Platinum 8490H,1900,512,240
227,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY RX2540 M7,989.0,182.0,2,56,2,Intel Xeon Platinum 8480+,2000,512,224
228,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY RX2560 M1,267.0,40.1,2,18,2,Intel Xeon E5-2699 v3,2300,64,72
229,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY RX2560 M2,243.0,41.7,2,22,2,Intel Xeon E5-2699 v4,2200,64,88
230,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY RX4770 M4,733.0,94.9,4,28,2,Intel Xeon Platinum 8176M,2100,192,224
231,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY RX4770 M4,773.0,146.0,4,28,2,Intel Xeon Platinum 8176M,2100,192,224
232,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY RX4770 M4,785.0,148.0,4,28,2,Intel Xeon Platinum 8176M,2100,192,224
233,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY RX4770 M5,808.0,120.0,4,28,2,Intel Xeon Platinum 8280L,2700,384,224
234,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY RX4770 M5,710.0,113.0,4,28,2,Intel Xeon Platinum 8276L,2300,384,224
235,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY RX4770 M6,834.0,129.0,4,28,2,Intel Xeon Platinum 8380H,2900,384,224
236,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY TX1310 M5 (D3930-A100),55.5,11.7,1,6,2,Intel Xeon E-2356G,3200,16,12
237,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY TX1310 M5 (D3930-A100),59.4,11.7,1,6,2,Intel Xeon E-2356G,3200,16,12
238,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY TX1310 M5 (D3931-C100),58.9,15.6,1,6,2,Intel Xeon E-2356G,3200,16,12
239,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY TX1310 M5 (D3931-C100),61.9,18.6,1,6,2,Intel Xeon E-2356G,3200,16,12
240,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY TX1320 M1,60.0,13.3,1,4,2,Intel Xeon E3-1275Lv3,2700,16,8
241,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY TX1320 M2,44.7,11.6,1,4,2,Intel Xeon E3-1260L v5,2900,16,8
242,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY TX1320 M3,51.8,9.33,1,4,2,Intel Xeon E3-1230 v6,3500,16,8
243,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY TX1320 M4,61.8,11.7,1,6,2,Intel Xeon E-2176G,3700,16,12
244,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY TX1320 M4,71.7,10.0,1,6,2,Intel Xeon E-2176G,3700,16,12
245,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY TX1320 M4,56.0,16.3,1,8,2,Intel Xeon E-2288G,3700,16,16
246,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY TX1320 M5,62.5,17.6,1,8,2,Intel Xeon E-2388G,3200,16,16
247,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY TX1320 M5,80.4,21.2,1,8,2,Intel Xeon E-2388G,3200,16,16
248,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY TX1330 M2,47.2,16.1,1,4,2,Intel Xeon E3-1240L v5,2100,16,8
249,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY TX1330 M3,51.2,12.4,1,4,2,Intel Xeon E3-1230 v6,3500,16,8
250,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY TX1330 M4,53.2,15.9,1,8,2,Intel Xeon E-2288G,3700,16,16
251,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY TX1330 M4,72.9,14.9,1,6,2,Intel Xeon E-2176G,3700,16,12
252,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY TX1330 M5,73.6,18.0,1,8,2,Intel Xeon E-2388G,3200,16,16
253,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY TX1330 M5,75.7,20.6,1,8,2,Intel Xeon E-2388G,3200,16,16
254,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY TX2540 M1,196.0,36.0,2,10,2,Intel Xeon E5-2470 v2,2400,48,40
255,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY TX2550 M5,342.0,54.8,2,24,2,Intel Xeon Gold 6252 Processor,2100,96,96
256,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY TX2550 M7,563.0,120.0,2,32,2,Intel Xeon Gold 6438Y+,2000,512,128
257,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY TX2560 M1,264.0,40.0,2,18,2,Intel Xeon E5-2699 v3,2300,64,72
258,power_ssj2008,Fujitsu,FUJITSU Server PRIMERGY TX2560 M2,241.0,41.8,2,22,2,Intel Xeon E5-2699 v4,2200,64,88
259,power_ssj2008,Fujitsu,PRIMERGY BX920 S2 (Intel Xeon X5675),4272.0,1032.0,36,6,2,Intel Xeon X5675,3067,216,432
260,power_ssj2008,Fujitsu,PRIMERGY BX920 S3 (Intel Xeon E5-2470),4965.0,1014.0,36,8,2,Intel Xeon E5-2470,2300,432,576
261,power_ssj2008,Fujitsu,PRIMERGY BX920 S4 (Intel Xeon E5-2470 v2),4745.0,949.0,36,10,2,Intel Xeon E5-2470 v2,2400,864,720
262,power_ssj2008,Fujitsu,PRIMERGY CX120 S1 (Intel Xeon L5530),6303.0,1842.0,76,4,2,Intel Xeon L5530,2400,304,608
264,power_ssj2008,Fujitsu,PRIMERGY RX100 S6 (Intel Xeon X3470),130.0,35.0,1,4,2,Intel Xeon X3470,2933,4,8
265,power_ssj2008,Fujitsu,PRIMERGY RX100 S6 (Intel Xeon X3480),127.0,33.4,1,4,2,Intel Xeon X3480,3067,4,8
266,power_ssj2008,Fujitsu,PRIMERGY RX100 S7 (Intel Xeon E3-1260L),57.2,17.8,1,4,2,Intel Xeon E3-1260L,2400,8,8
267,power_ssj2008,Fujitsu,PRIMERGY RX100 S7p (Intel Xeon E3-1265LV2),59.5,19.1,1,4,2,Intel Xeon E3-1265LV2,2500,8,8
268,power_ssj2008,Fujitsu,PRIMERGY RX100 S8 (Intel Xeon E3-1265Lv3),69.8,17.7,1,4,2,Intel Xeon E3-1265Lv3,2500,8,8
270,power_ssj2008,Fujitsu,PRIMERGY RX200 S6 (Intel Xeon X5670),242.0,76.2,2,6,2,Intel Xeon X5670,2933,12,24
271,power_ssj2008,Fujitsu,PRIMERGY RX200 S7 (Intel Xeon E5-2660),258.0,59.8,2,8,2,Intel Xeon E5-2660,2200,24,32
272,power_ssj2008,Fujitsu,PRIMERGY RX200 S7 (Intel Xeon E5-2660),257.0,58.6,2,8,2,Intel Xeon E5-2660,2200,32,32
273,power_ssj2008,Fujitsu,PRIMERGY RX200 S8 (Intel Xeon E5-2660 v2),193.0,45.7,2,10,2,Intel Xeon E5-2660 v2,2200,48,40
274,power_ssj2008,Fujitsu,PRIMERGY RX2530 M6,580.0,131.0,2,40,2,Intel Xeon Platinum 8380,2300,256,160
275,power_ssj2008,Fujitsu,PRIMERGY RX2530 M6,568.0,132.0,2,40,2,Intel Xeon Platinum 8380,2300,256,160
276,power_ssj2008,Fujitsu,PRIMERGY RX2540 M6,564.0,135.0,2,40,2,Intel Xeon Platinum 8380,2300,256,160
277,power_ssj2008,Fujitsu,PRIMERGY RX2540 M6,550.0,137.0,2,40,2,Intel Xeon Platinum 8380,2300,256,160
279,power_ssj2008,Fujitsu,PRIMERGY RX300 S6 (Intel Xeon X5670),245.0,77.9,2,6,2,Intel Xeon X5670,2933,12,24
280,power_ssj2008,Fujitsu,PRIMERGY RX300 S7 (Intel Xeon E5-2660),245.0,54.0,2,8,2,Intel Xeon E5-2660,2200,24,32
281,power_ssj2008,Fujitsu,PRIMERGY RX300 S7 (Intel Xeon E5-2660),245.0,53.1,2,8,2,Intel Xeon E5-2660,2200,32,32
282,power_ssj2008,Fujitsu,PRIMERGY RX300 S8 (Intel Xeon E5-2660 v2),185.0,40.8,2,10,2,Intel Xeon E5-2660 v2,2200,48,40
283,power_ssj2008,Fujitsu,PRIMERGY RX350 S7 (Intel Xeon E5-2660),245.0,55.2,2,8,2,Intel Xeon E5-2660,2200,24,32
284,power_ssj2008,Fujitsu,PRIMERGY RX350 S7 (Intel Xeon E5-2660),240.0,52.3,2,8,2,Intel Xeon E5-2660,2200,24,32
285,power_ssj2008,Fujitsu,PRIMERGY RX350 S8 (Intel Xeon E5-2660 v2),185.0,40.8,2,10,2,Intel Xeon E5-2660 v2,2200,48,40
286,power_ssj2008,Fujitsu,PRIMERGY RX500 S7 (Intel Xeon E5-4640),420.0,97.1,4,8,2,Intel Xeon E5-4640,2400,48,64
287,power_ssj2008,Fujitsu,PRIMERGY RX500 S7 (Intel Xeon E5-4640),402.0,94.6,4,8,2,Intel Xeon E5-4640,2400,48,64
289,power_ssj2008,Fujitsu,PRIMERGY TX100 S3p (Intel Xeon E3-1240V2),72.5,14.1,1,4,2,Intel Xeon E3-1240V2,3400,8,8
290,power_ssj2008,Fujitsu,PRIMERGY TX120 S3 (Intel Xeon E3-1260L),54.0,14.9,1,4,2,Intel Xeon E3-1260L,2400,8,8
291,power_ssj2008,Fujitsu,PRIMERGY TX120 S3p (Intel Xeon E3-1265LV2),56.2,15.7,1,4,2,Intel Xeon E3-1265LV2,2500,8,8
292,power_ssj2008,Fujitsu,PRIMERGY TX140 S1 (Intel Xeon E3-1260L),53.6,16.8,1,4,2,Intel Xeon E3-1260L,2400,8,8
293,power_ssj2008,Fujitsu,PRIMERGY TX140 S1p (Intel Xeon E3-1265LV2),55.3,18.9,1,4,2,Intel Xeon E3-1265LV2,2500,8,8
294,power_ssj2008,Fujitsu,PRIMERGY TX140 S2 (Intel Xeon E3-1265Lv3),58.5,19.0,1,4,2,Intel Xeon E3-1265Lv3,2500,8,8
296,power_ssj2008,Fujitsu,PRIMERGY TX150 S7 (Intel Xeon X3470),112.0,24.3,1,4,2,Intel Xeon X3470,2933,4,8
297,power_ssj2008,Fujitsu,PRIMERGY TX150 S7 (Intel Xeon X3480),113.0,24.8,1,4,2,Intel Xeon X3480,3067,4,8
298,power_ssj2008,Fujitsu,PRIMERGY TX200 S7 (Intel Xeon E5-2470),252.0,50.7,2,8,2,Intel Xeon E5-2470,2300,24,32
299,power_ssj2008,Fujitsu,PRIMERGY TX200 S7 (Intel Xeon E5-2470),252.0,51.4,2,8,2,Intel Xeon E5-2470,2300,24,32
301,power_ssj2008,Fujitsu,PRIMERGY TX300 S6 (Intel Xeon X5670),236.0,78.5,2,6,2,Intel Xeon X5670,2933,12,24
302,power_ssj2008,Fujitsu,PRIMERGY TX300 S6 (Intel Xeon X5675),236.0,74.8,2,6,2,Intel Xeon X5675,3066,12,24
303,power_ssj2008,Fujitsu,PRIMERGY TX300 S7 (Intel Xeon E5-2660),246.0,55.1,2,8,2,Intel Xeon E5-2660,2200,24,32
304,power_ssj2008,Fujitsu,PRIMERGY TX300 S7 (Intel Xeon E5-2660),240.0,52.6,2,8,2,Intel Xeon E5-2660,2200,24,32
305,power_ssj2008,Fujitsu,PRIMERGY TX300 S8 (Intel Xeon E5-2660 v2),185.0,40.8,2,10,2,Intel Xeon E5-2660 v2,2200,48,40
322,power_ssj2008,"GIGA-BYTE TECHNOLOGY CO., LTD.",R181-Z90,296.0,95.5,2,32,2,AMD EPYC 7601,2200,128,128
323,power_ssj2008,"GIGA-BYTE TECHNOLOGY CO., LTD.",R272-Z30,261.0,89.8,1,64,2,AMD EPYC 7773X,2200,256,128
324,power_ssj2008,"GIGA-BYTE TECHNOLOGY CO., LTD.",R282-Z90,515.0,112.0,2,64,2,AMD EPYC 7773X,2200,256,256
325,power_ssj2008,"GIGA-BYTE TECHNOLOGY CO., LTD.",R282-Z90,501.0,156.0,2,64,2,AMD EPYC 7773X,2200,256,256
326,power_ssj2008,"GIGA-BYTE Technology Co., Ltd.",R282-Z90,492.0,133.0,2,64,2,AMD EPYC 7742,2250,256,256
327,power_ssj2008,H3C,UIS R390x G2,252.0,40.1,2,22,2,Intel Xeon E5-2699 v4,2200,64,88
328,power_ssj2008,Hewlett Packard,ProLiant DL170h G6,652.0,267.0,8,4,2,Intel Xeon L5520,2267,32,64
329,power_ssj2008,Hewlett Packard Enterprise,Apollo XL225n Gen10 Plus,1731.0,430.0,6,64,2,AMD EPYC 7763,2450,768,768
330,power_ssj2008,Hewlett Packard Enterprise,Apollo XL225n Gen10 Plus,1192.0,331.0,4,64,2,AMD EPYC 7763,2450,512,512
331,power_ssj2008,Hewlett Packard Enterprise,Apollo XL225n Gen10 Plus,1694.0,352.0,6,64,2,AMD EPYC 7763,2450,768,768
332,power_ssj2008,Hewlett Packard Enterprise,Apollo XL225n Gen10 Plus,1173.0,257.0,4,64,2,AMD EPYC 7763,2450,512,512
333,power_ssj2008,Hewlett Packard Enterprise,Apollo XL225n Gen10 Plus,2260.0,523.0,8,64,2,AMD EPYC 7763,2450,1024,1024
334,power_ssj2008,Hewlett Packard Enterprise,Apollo XL225n Gen10 Plus,1281.0,524.0,6,64,2,AMD EPYC 7702,2000,768,768
335,power_ssj2008,Hewlett Packard Enterprise,Apollo XL225n Gen10 Plus,894.0,403.0,4,64,2,AMD EPYC 7702,2000,512,512
336,power_ssj2008,Hewlett Packard Enterprise,Apollo XL225n Gen10 Plus,1687.0,700.0,8,64,2,AMD EPYC 7702,2000,1024,1024
337,power_ssj2008,Hewlett Packard Enterprise,Apollo XL225n Gen10 Plus,1721.0,678.0,8,64,2,AMD EPYC 7742,2250,1024,1024
338,power_ssj2008,Hewlett Packard Enterprise,ProLiant DL110 Gen10 Plus,299.0,94.1,1,32,2,Intel Xeon Gold 6314U CPU,2300,64,64
339,power_ssj2008,Hewlett Packard Enterprise,ProLiant DL110 Gen10 Plus,307.0,93.8,1,32,2,Intel Xeon Gold 6314U CPU,2300,64,64
340,power_ssj2008,Hewlett Packard Enterprise,ProLiant DL20 Gen10 Plus,81.5,21.5,1,8,2,Intel(R) Xeon(R) E-2388G CPU,3200,16,16
341,power_ssj2008,Hewlett Packard Enterprise,ProLiant DL20 Gen10 Plus,82.8,21.7,1,8,2,Intel(R) Xeon(R) E-2388G CPU,3200,16,16
342,power_ssj2008,Hewlett Packard Enterprise,ProLiant DL325 Gen10,231.0,79.5,1,64,2,AMD EPYC 7702P,2000,128,128
343,power_ssj2008,Hewlett Packard Enterprise,ProLiant DL325 Gen10,230.0,78.7,1,64,2,AMD EPYC 7702P,2000,128,128
344,power_ssj2008,Hewlett Packard Enterprise,ProLiant DL325 Gen10,224.0,70.3,1,64,2,AMD EPYC 7702P,2000,128,128
345,power_ssj2008,Hewlett Packard Enterprise,ProLiant DL325 Gen10,181.0,61.7,1,32,2,AMD EPYC 7551P,2000,128,64
346,power_ssj2008,Hewlett Packard Enterprise,ProLiant DL325 Gen10 Plus,269.0,53.2,1,64,2,AMD EPYC 7773X,2200,128,128
347,power_ssj2008,Hewlett Packard Enterprise,ProLiant DL325 Gen10 Plus,268.0,56.8,1,64,2,AMD EPYC 7763,2450,128,128
348,power_ssj2008,Hewlett Packard Enterprise,ProLiant DL325 Gen11,416.0,74.5,1,96,2,AMD EPYC 9654P,2400,192,192
349,power_ssj2008,Hewlett Packard Enterprise,ProLiant DL325 Gen11,381.0,72.5,1,96,2,AMD EPYC 9654P,2400,192,192
